project_id,is_geocoded,project_title,start_actual_isodate,end_actual_isodate,donors,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
P073036,1,Household Energy and Universal Access Project,04/11/2003,30/06/2012,World Bank,DAC,Mali,MLI,230,Energy generation and supply,Completion,2003,2012,42930176.63,70971436.8
P085539,1,Port-City of Limon Integrated Infrastructure Project,08/01/2008,30/06/2014,World Bank,DAC,Costa Rica,CRI,151|160|140|210,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",Completion,2008,2014,75688970.86,2609964.513
P147978,1,AF-Agricultural Diversification and Market Development Project,13/06/2014,,World Bank,DAC,Burkina Faso,BFA,151|311|321,"Industry|Agriculture|Government and civil society, general",Implementation,2014,2014,50000000,
P088575,0,Health Insurance Strategy for the Poor Support Project,16/02/2006,30/06/2010,World Bank,DAC,Ecuador,ECU,120|121,"Health, general|Health",Completion,2006,2010,98829295.62,
P150669,1,AF Bangladesh - Primary Education Development Program III,16/12/2014,,World Bank,DAC,Bangladesh,BGD,112,Basic education,Implementation,2014,2014,400000000,
P040208,1,Industry Support Institutions Upgrading Project,13/06/1996,31/12/2003,World Bank,DAC,Tunisia,TUN,151,"Government and civil society, general",Completion,1996,2003,52799076.17,23813656.26
P102316,1,Additional Financing Argentina Provincial Agricultural Development Project - Ln. 7425-0 AR,23/01/2007,,World Bank,DAC,Argentina,ARG,151|311|230|210,"Energy generation and supply|Agriculture|Government and civil society, general|Transport and storage",Completion,2007,2007,39484187.96,
P074968,1,Structural Adjustment Credit II,11/06/2002,31/12/2002,World Bank,DAC,Pakistan,PAK,120|151|322|230,"Energy generation and supply|Health|Mineral resources and mining|Government and civil society, general",Completion,2002,2002,614768318.7,627420427.7
P006969,1,Basic Education Reform Project,21/12/1995,31/12/2001,World Bank,DAC,Dominica,DMA,151|114|113|112,"Post-secondary education|Basic education|Government and civil society, general|Secondary education",Completion,1995,2001,8536438.35,7952390.518
P144140,1,GH eTransform Ghana,24/10/2013,30/06/2019,World Bank,DAC,Ghana,GHA,120|151|113|220,"Communications|Health|Government and civil society, general|Secondary education",Implementation,2013,2019,100192642.6,
P124264,1,Partnership for Polio Eradication Project - 3rd Additional Financing (FY11),17/03/2011,,World Bank,DAC,Nigeria,NGA,120,Health,Completion,2011,2011,60000000,
P116398,1,Medium Cities Development Project,15/12/2011,30/12/2017,World Bank,DAC,Vietnam,VNM,151|111|230|140|210,"Water supply and sanitation|Education, level unspecified|Government and civil society, general|Transport and storage|Energy generation and supply",Implementation,2011,2017,210000000,
P051151,1,Social Protection Adjustment Loan,19/11/1998,30/06/2000,World Bank,DAC,Bulgaria,BGR,121|160|240,"Other social infrastructure and services|Banking and financial services|Health, general",Completion,1998,2000,106053736.9,57522892.45
P000283,1,Mining Sector Capacity Building and Environmental Management Project,30/06/1997,31/12/2004,World Bank,DAC,Burkina Faso,BFA,151|322,"Mineral resources and mining|Government and civil society, general",Completion,1997,2004,28689882.16,28044568.53
P060258,1,Policy Reform Support Loan Project (02),20/05/1999,29/10/1999,World Bank,DAC,Indonesia,IDN,151|312|331|240,"Forestry|Banking and financial services|Trade policy and regulations|Government and civil society, general",Completion,1999,1999,652666432.2,652666432.2
P069820,1,Fiscal Reform Support Operation,23/05/2000,30/06/2001,World Bank,DAC,Mauritania,MRT,151|240,"Banking and financial services|Government and civil society, general",Completion,2000,2001,38330348.91,59941911.89
P070973,1,Financial Sector Technical Assistance Project,12/06/2001,01/10/2006,World Bank,DAC,Azerbaijan,AZE,151|240,"Banking and financial services|Government and civil society, general",Completion,2001,2006,6746999.946,7728032.006
P106427,1,Rio de Janeiro Mass Transit - Additional Financing,12/02/2008,,World Bank,DAC,Brazil,BRA,210,Transport and storage,Completion,2008,2008,45935375.42,
P055137,1,Structural Adjustment Loan 3,06/08/1998,31/12/2000,World Bank,DAC,Russian Federation,RUS,151|322|230,"Energy generation and supply|Mineral resources and mining|Government and civil society, general",Completion,1998,2000,1988507566,530268684.4
P125694,1,Mauritius First Public Sector Performance Development Policy Loan,27/03/2012,31/12/2012,World Bank,DAC,Mauritius,MUS,151|160|113,"Other social infrastructure and services|Government and civil society, general|Secondary education",Completion,2012,2012,19636874.33,
P035770,1,Pilot Reconstruction Project,02/07/1998,30/09/2005,World Bank,DAC,Azerbaijan,AZE,151|111|230|310|160,"Other social infrastructure and services|Agriculture, forestry, fishing|Government and civil society, general|Energy generation and supply|Education, level unspecified",Completion,1998,2005,26513434.22,38038047.46
P077684,1,Emergency Recovery Project,07/03/2002,31/12/2005,World Bank,DAC,St. Kitts and Nevis,KNA,151|230|210,"Energy generation and supply|Transport and storage|Government and civil society, general",Completion,2002,2005,5409961.204,4855195.417
P117238,1,MW-PRSC-3,08/06/2010,31/05/2011,World Bank,DAC,Malawi,MWI,151|311,"Agriculture|Government and civil society, general",Completion,2010,2011,55151149.54,53799790.43
P035630,1,AGRICULTURAL SERVICES AND PRODUCER ORGANIZATIONS PROJECT,11/12/2001,31/12/2009,World Bank,DAC,Mali,MLI,120|151|311,"Agriculture|Health|Government and civil society, general",Completion,2001,2009,54350832.9,75080686.86
P086313,1,SAMOA HEALTH SECTOR MANAGEMENT PROGRAM SUPPORT PROJECT,19/06/2008,18/12/2015,World Bank,DAC,Samoa,WSM,120|151,"Health|Government and civil society, general",Implementation,2008,2015,3131957.415,2268530.521
P070995,1,Community Development Project,26/06/2001,31/08/2009,World Bank,DAC,Bosnia and Herzegovina,BIH,151|160|140|210|112,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general|Basic education",Completion,2001,2009,18741666.52,26782769.39
P078380,1,Economic Assistance 4 Project,17/06/2003,31/01/2004,World Bank,DAC,Kosovo,XKX,151|240,"Banking and financial services|Government and civil society, general",Completion,2003,2004,6021062.64,6635615.645
P050544,1,LB - First Municipal Infrastructure Project,22/06/2000,31/12/2008,World Bank,DAC,Lebanon,LBN,151|210|140,"Water supply and sanitation|Transport and storage|Government and civil society, general",Completion,2000,2008,102214263.8,96211715.5
P040462,1,Essential Social Services Program Project,22/06/1995,30/06/1998,World Bank,DAC,Mexico,MEX,120|160|113|112,Other social infrastructure and services|Secondary education|Health|Basic education,Completion,1995,1998,695149702.8,695149702.8
P093050,1,Registration Project,13/06/2006,29/02/2016,World Bank,DAC,Russian Federation,RUS,151,"Government and civil society, general",Implementation,2006,2016,54905164.23,4370568.965
P042287,1,Economic Competitiveness Adjustment Loan Project,25/07/1996,30/06/1998,World Bank,DAC,Tunisia,TUN,151|160|210|220,"Communications|Transport and storage|Government and civil society, general|Other social infrastructure and services",Completion,1996,1998,102323791,95339699.45
P094917,1,WAPP APL 1 (2nd Phase - COASTAL TRANSMISSION BACKBONE),29/06/2006,30/06/2016,World Bank,DAC,Western Africa,GTM,151|230|140,"Water supply and sanitation|Energy generation and supply|Government and civil society, general",Implementation,2006,2016,65886197.08,33988157.48
P075829,1,Education Reform for Knowledge Economy I Program,08/05/2003,30/06/2009,World Bank,DAC,Jordan,JOR,113|112,Basic education|Secondary education,Completion,2003,2009,144505503.4,144154869.7
P073113,1,Andhra Pradesh Economic Reform Loan/Credit,14/03/2002,30/09/2002,World Bank,DAC,India,IND,151|311|230|240,"Banking and financial services|Agriculture|Energy generation and supply|Government and civil society, general",Completion,2002,2002,307384159.3,309025394
P060329,1,HIV/AIDS Rapid Response Project,16/01/2001,31/12/2006,World Bank,DAC,"Gambia, The",GMB,151|120|160,"Other social infrastructure and services|Health|Government and civil society, general",Completion,2001,2006,18741666.52,19163205.09
P096812,1,Yunnan Urban Environment Project,05/05/2009,30/04/2017,World Bank,DAC,China,CHN,160|140,Water supply and sanitation|Other social infrastructure and services,Implementation,2009,2017,93146825.79,29969475.17
P055935,1,El Nino Emergency Flood Project,20/01/1998,31/12/2004,World Bank,DAC,Argentina,ARG,151|210|140|430,"Water supply and sanitation|Other|Transport and storage|Government and civil society, general",Completion,1998,2004,55678211.86,49647621.41
P099811,1,TN-Tunis West Sewerage,06/07/2006,30/06/2015,World Bank,DAC,Tunisia,TUN,140,Water supply and sanitation,Completion,2006,2015,73353299.41,58357797.64
P077732,1,Privatization & Restructuring of Banks & Enterprises Technical Assistance Project,10/12/2002,30/04/2007,World Bank,DAC,Serbia,SRB,151|240,"Banking and financial services|Government and civil society, general",Completion,2002,2007,13524903.01,13968244.75
P054462,1,Land Fund Project,07/01/1999,30/06/2005,World Bank,DAC,Guatemala,GTM,151|160|210|140,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",Completion,1999,2005,30022655.88,30022655.88
P081909,1,Partnership for Polio Eradication,15/05/2003,30/06/2006,World Bank,DAC,Pakistan,PAK,120,Health,Completion,2003,2006,24084250.56,50691898.71
P008409,1,Financial & Enterprise Sector Adjustment Credit (FESAC),16/05/1995,30/09/1996,World Bank,DAC,"Macedonia, former Yugoslav Republic of",MKD,151|160|240,"Other social infrastructure and services|Banking and financial services|Government and civil society, general",Completion,1995,1996,118175449.5,112989602.1
P090875,1,Poverty Reduction Support Credit II,01/06/2006,31/08/2006,World Bank,DAC,Cabo Verde,CPV,151|120|160|112,"Other social infrastructure and services|Health|Government and civil society, general|Basic education",Completion,2006,2006,10981032.85,11315163.71
P065146,0,RIVER BANK PROT SUP,20/04/1999,,World Bank,DAC,Bangladesh,BGD,151|410,"General environmental protection|Government and civil society, general",Completion,1999,1999,58739978.89,
P147402,1,Kosovo Health Project,13/05/2014,30/10/2019,World Bank,DAC,Kosovo,XKX,120|121,"Health, general|Health",Implementation,2014,2019,25500000,
P065301,1,ECONOMIC MANAGEMENT CAPACITY BUILDING PROJECT,11/05/2000,30/12/2007,World Bank,DAC,Nigeria,NGA,151,"Government and civil society, general",Completion,2000,2007,25553565.94,24629008.6
P055490,1,First Karnataka Economic Restructuring Loan/Credit,21/06/2001,31/12/2001,World Bank,DAC,India,IND,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2001,2001,187416665.2,188148566
P074642,1,Economic Rehabilitation and Recovery Credit II,13/12/2001,30/03/2003,World Bank,DAC,Sierra Leone,SLE,322|151|240|112,"Banking and financial services|Government and civil society, general|Mineral resources and mining|Basic education",Completion,2001,2003,62472221.73,64356956.43
P118701,1,Bangladesh - Employment Generation Program for the Poorest,30/11/2010,30/06/2014,World Bank,DAC,Bangladesh,BGD,160,Other social infrastructure and services,Completion,2010,2014,153197637.6,26238679.67
P115873,1,Additional Financing for Agricultural Sector Development Project,09/06/2009,,World Bank,DAC,Tanzania,TZA,311,Agriculture,Implementation,2009,2009,31048941.93,
P101641,1,Forest Additional Financing Project,19/06/2007,,World Bank,DAC,Bosnia and Herzegovina,BIH,151|312,"Forestry|Government and civil society, general",Completion,2007,2007,3574919.721,
P064926,1,Health Sector Management,14/09/2000,31/12/2006,World Bank,DAC,Samoa,WSM,120|151,"Health|Government and civil society, general",Completion,2000,2006,6388391.485,7095394.451
P075189,1,Education Improvement Project (Serbia),02/05/2002,30/06/2007,World Bank,DAC,Serbia,SRB,151|113|112,"Secondary education|Government and civil society, general|Basic education",Completion,2002,2007,12295366.37,13073056.8
P035672,1,National Transport Program Support Project,26/10/2000,31/01/2008,World Bank,DAC,Chad,TCD,120|151|210,"Health|Government and civil society, general|Transport and storage",Completion,2000,2008,85604445.9,89019858.9
P037857,1,Health and Population Program Project,30/06/1998,30/06/2005,World Bank,DAC,Bangladesh,BGD,120|151|111,"Education, level unspecified|Health|Government and civil society, general",Completion,1998,2005,331417927.7,294671807.3
P133116,1,China-Qinghai Xining Water Environment Management Project,25/09/2014,31/12/2019,World Bank,DAC,China,CHN,311|140,Water supply and sanitation|Agriculture,Implementation,2014,2019,150000000,
P049330,0,PRIVATE SEC. DEVPMNT,14/11/1996,,World Bank,DAC,Cote d'Ivoire,CIV,151|331|210,"Trade policy and regulations|Transport and storage|Government and civil society, general",Completion,1996,1996,74491719.87,
P047039,1,Judicial Reform Project,22/10/1998,30/06/2007,World Bank,DAC,Guatemala,GTM,151,"Government and civil society, general",Completion,1998,2007,43747166.46,42672715.58
P098167,1,(APL1) Bono de Desarrollo Humano,01/06/2006,31/12/2010,World Bank,DAC,Ecuador,ECU,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2006,2010,65886197.08,
P106200,1,Northern Corridor Additional Financing,02/04/2009,,World Bank,DAC,Kenya,KEN,210,Transport and storage,Implementation,2009,2009,261846076.9,
P083333,1,AO-Emerg MS Recovery ERL (FY05),17/02/2005,28/02/2011,World Bank,DAC,Angola,AGO,120|151|311|140|112,"Water supply and sanitation|Health|Agriculture|Government and civil society, general|Basic education",Completion,2005,2011,57472815.56,39273230.21
P126722,0,Municipal Water Project,21/02/2012,30/06/2015,World Bank,DAC,Armenia,ARM,140,Water supply and sanitation,Completion,2012,2015,14727655.75,
P110978,1,Rural Electrification Phase II Project of the Rural Electrification (APL) Program,12/01/2010,30/06/2015,World Bank,DAC,Lao People's Democratic Republic,LAO,230,Energy generation and supply,Completion,2010,2015,20426351.68,1989176.975
P080345,1,Emergency Economic Recovery Credit,14/11/2002,31/12/2003,World Bank,DAC,Madagascar,MDG,120|160|310|111|210,"Other social infrastructure and services|Education, level unspecified|Health|Transport and storage|Agriculture, forestry, fishing",Completion,2002,2003,61476831.87,64431559.22
P111840,1,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),08/06/2010,31/12/2015,World Bank,DAC,Angola,AGO,120|121,"Health, general|Health",Implementation,2010,2015,72309284.95,
P121060,1,Health Commodity Security Project,30/09/2010,30/06/2014,World Bank,DAC,Mozambique,MOZ,120,Health,Completion,2010,2014,39831385.78,27638015.21
P127080,1,Burundi Sixth Economic Reform Support Grant - First Operation in the series of 3,23/10/2012,31/12/2013,World Bank,DAC,Burundi,BDI,151|311|321,"Industry|Agriculture|Government and civil society, general",Completion,2012,2013,24546092.91,
P127245,1,Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project,14/06/2013,30/04/2018,World Bank,DAC,Brazil,BRA,151|120|111|160,"Other social infrastructure and services|Health|Government and civil society, general|Education, level unspecified",Implementation,2013,2018,16733204.22,
P068673,1,Third Road Rehabilitation and Maintenance Project,15/02/2001,30/06/2007,World Bank,DAC,Nicaragua,NIC,151|210,"Government and civil society, general|Transport and storage",Completion,2001,2007,93708332.59,101475991
P116080,1,Export Finance Intermediation Loan,04/08/2009,31/08/2016,World Bank,DAC,Croatia,HRV,151|321|240,"Industry|Banking and financial services|Government and civil society, general",Implementation,2009,2016,146157719.3,116229353.6
P071296,1,URBAN SECTOR DEVELOPMENT REFORM PROJECT,07/06/2005,31/05/2013,World Bank,DAC,Indonesia,IDN,151|160|210,"Other social infrastructure and services|Transport and storage|Government and civil society, general",Completion,2005,2013,51011374.75,30229549.41
P001999,1,Health Sector Development Program,05/09/1996,31/12/2003,World Bank,DAC,Niger,NGA,120|151,"Health|Government and civil society, general",Completion,1996,2003,54572688.55,56112970.05
P115396,1,Public Investment Capacity Building Project,24/06/2009,31/12/2015,World Bank,DAC,Azerbaijan,AZE,151|111|230|140|210,"Water supply and sanitation|Transport and storage|Government and civil society, general|Energy generation and supply|Education, level unspecified",Implementation,2009,2015,8279717.848,4766104.864
P118779,1,Pakistan: Tertiary Education Support Project,24/03/2011,31/12/2015,World Bank,DAC,Pakistan,PAK,114,Post-secondary education,Implementation,2011,2015,300000000,
P074132,1,Nigeria Federal Science & Technical Education at Post-Basic Levels (STEPB),22/05/2007,30/06/2013,World Bank,DAC,Nigeria,NGA,151|114|113,"Post-secondary education|Government and civil society, general|Secondary education",Completion,2007,2013,192085238.7,127379679.6
P125135,1,RY-Road Asset Management Project,14/02/2013,31/12/2018,World Bank,DAC,"Yemen, Republic of",YEM,210,Transport and storage,Implementation,2013,2018,41316553.63,
P133610,1,BI-Jiji and Mulembwe Hydropower,22/04/2014,31/12/2019,World Bank,DAC,Burundi,BDI,230|140,Water supply and sanitation|Energy generation and supply,Implementation,2014,2019,100000000,
P102165,1,Avian Influenza Control and Human Pandemic Preparedness and Response Project,01/02/2007,30/06/2011,World Bank,DAC,Kosovo,XKX,151|120|311|140,"Water supply and sanitation|Health|Agriculture|Government and civil society, general",Completion,2007,2011,3201420.645,3289396.965
P106384,1,Statistical Capacity Building-Change and Reform for the Development of Statistics (STATCAP-CERDAS),07/04/2011,30/11/2018,World Bank,DAC,Indonesia,IDN,151,"Government and civil society, general",Implementation,2011,2018,65000000,
P100580,1,Roads and Safety Improvement,07/04/2009,30/11/2014,World Bank,DAC,Ukraine,UKR,210,Transport and storage,Completion,2009,2014,413985892.4,177532793.5
P114875,1,Second Transmission and Distribution Project Additional Financing,29/03/2011,,World Bank,DAC,Vietnam,VNM,230,Energy generation and supply,Completion,2011,2011,180000000,
P115524,1,Additional Financing for the VIP 2,03/11/2009,,World Bank,DAC,Kyrgyz Republic,KGZ,151|111|160|230|140,"Water supply and sanitation|Education, level unspecified|Government and civil society, general|Energy generation and supply|Other social infrastructure and services",Completion,2009,2009,8279717.848,
P143025,1,Lao PDR Ninth Poverty Reduction Support Operation,30/09/2013,31/03/2014,World Bank,DAC,Lao People's Democratic Republic,LAO,151|322|111|120,"Education, level unspecified|Health|Mineral resources and mining|Government and civil society, general",Completion,2013,2014,20658276.82,
P036007,1,Environmental Management Project,30/03/1995,31/12/2000,World Bank,DAC,Trinidad and Tobago,TTO,151,"Government and civil society, general",Completion,1995,2000,8689371.285,7882975.218
P057030,1,Regulatory Reform Sector Adjustment Credit Project,19/11/1998,31/07/2002,World Bank,DAC,Bolivia,BOL,151|230|140|210|220,"Water supply and sanitation|Communications|Energy generation and supply|Government and civil society, general|Transport and storage",Completion,1998,2002,53026868.44,55506049.52
P057880,1,Urban Heating Project,12/07/2005,01/06/2011,World Bank,DAC,Armenia,ARM,151|160|230|111|430,"Education, level unspecified|Other|Energy generation and supply|Government and civil society, general|Other social infrastructure and services",Completion,2005,2011,17003791.58,17337995.01
P106528,1,MX Results-based Management and Budgeting,11/12/2008,31/12/2013,World Bank,DAC,Mexico,MEX,151,"Government and civil society, general",Completion,2008,2013,17998315.28,45003.61809
P075343,0,Energy Efficiency Project,16/03/2004,30/04/2013,World Bank,DAC,Serbia,SRB,151|230,"Government and civil society, general|Energy generation and supply",Completion,2004,2013,24595939.95,45889564.81
P110324,1,Sri Lanka: Road Sector Assistance Project : Additional Credit,17/07/2008,,World Bank,DAC,Sri Lanka,LKA,210,Transport and storage,Completion,2008,2008,102415007.5,
P106188,1,LA - Poverty Reduction Fund Project,15/07/2008,,World Bank,DAC,Lao People's Democratic Republic,LAO,120|310|111|210|140,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Agriculture, forestry, fishing",Completion,2008,2008,15659787.08,
P050484,1,Secondary Education Enhancement Project,15/04/1999,31/10/2012,World Bank,DAC,"Egypt, Arab Republic of",EGY,151|114|160|113,"Other social infrastructure and services|Post-secondary education|Government and civil society, general|Secondary education",Completion,1999,2012,65266643.22,58301100.54
P048756,1,Private Participation in Infrastructure Technical Assistance,22/04/1997,30/01/2004,World Bank,DAC,Guatemala,GTM,151|230|220,"Communications|Government and civil society, general|Energy generation and supply",Completion,1997,2004,17428433.09,10380895.71
P143650,1,Maternal and Child Nutrition and Health Results Project,21/03/2014,31/07/2019,World Bank,DAC,"Gambia, The",GMB,120|151,"Health|Government and civil society, general",Implementation,2014,2019,3680000,
P146098,1,Water Resources Development Flood Response Additional Financing,27/09/2013,,World Bank,DAC,Mozambique,MOZ,410,General environmental protection,Implementation,2013,2013,33053242.91,
P096745,1,PK Punjab Barrages Improvement Phase II Project (PBIP-II),01/07/2010,30/06/2016,World Bank,DAC,Pakistan,PAK,311|410|140,Water supply and sanitation|Agriculture|General environmental protection,Implementation,2010,2016,148703840.2,5830771.762
P124181,1,Sustainable Management of Natural Resources and Climate Change,17/11/2011,01/03/2017,World Bank,DAC,Uruguay,URY,311|310|230,"Agriculture, forestry, fishing|Agriculture|Energy generation and supply",Implementation,2011,2017,49000000,
P131118,1,Road Sector Support Project,19/02/2014,07/01/2024,World Bank,DAC,Ethiopia,ETH,331|210,Trade policy and regulations|Transport and storage,Implementation,2014,2024,320000000,
P035728,1,Bahia Water Resources Management Project,11/09/1997,30/09/2005,World Bank,DAC,Brazil,BRA,151|160|140,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general",Completion,1997,2005,68373083.66,68373083.66
P117731,1,Ethiopia-Transport Sector Project in Support of RSDP4,25/09/2012,30/04/2019,World Bank,DAC,Ethiopia,ETH,210,Transport and storage,Implementation,2012,2019,407465142.4,
P074841,1,Bangladesh - Health Nutrition and Population Sector Program,28/04/2005,31/12/2011,World Bank,DAC,Bangladesh,BGD,151|120|160|111,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",Completion,2005,2011,340075831.7,334559373.9
P008551,1,Highway Project,05/09/1996,31/12/2000,World Bank,DAC,Lithuania,LTU,151|210,"Government and civil society, general|Transport and storage",Completion,1996,2000,25922027.06,25917158.06
P104497,1,DRC Emergency Urban and Social Rehabilitation Project,29/03/2007,31/05/2013,World Bank,DAC,"Congo, Democratic Republic of",COD,120|151|111|210|140,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Government and civil society, general",Completion,2007,2013,192085238.7,183536227.1
P096801,1,Electricity Distribution Rehabilitation Project,19/04/2007,31/12/2012,World Bank,DAC,Turkey,TUR,230,Energy generation and supply,Completion,2007,2012,287487574,99996829.4
P128258,1,Power Sector Reform: Development Policy Credit,01/05/2014,30/06/2015,World Bank,DAC,Pakistan,PAK,230,Energy generation and supply,Completion,2014,2015,600000000,
P002952,1,Northern Uganda Social Action Fund Project,23/07/2002,31/03/2009,World Bank,DAC,Uganda,UGA,120|310|160|140|112,"Water supply and sanitation|Agriculture, forestry, fishing|Basic education|Health|Other social infrastructure and services",Completion,2002,2009,122953663.7,123775985.6
P043873,1,Agricultural Technology Development Project,22/05/1997,31/12/2005,World Bank,DAC,Brazil,BRA,151|311,"Agriculture|Government and civil society, general",Completion,1997,2005,80438921.95,80438921.95
P119063,1,GH-GAMA Sanitation and Water Project,06/06/2013,30/11/2018,World Bank,DAC,Ghana,GHA,140,Water supply and sanitation,Implementation,2013,2018,154937076.1,
P093384,1,Mainstreaming Market-Based Instruments for Environmental Management Project,08/06/2006,31/03/2014,World Bank,DAC,Costa Rica,CRI,312|140,Forestry|Water supply and sanitation,Completion,2006,2014,32943098.54,14469391.39
P122807,1,GN-DPL 1,21/04/2011,31/08/2011,World Bank,DAC,Guinea,GIN,151|322,"Mineral resources and mining|Government and civil society, general",Completion,2011,2011,78000000,79854620.15
P079657,1,Tonga Education Support Project,16/06/2005,30/06/2011,World Bank,DAC,Tonga,TON,151|113|112,"Basic education|Government and civil society, general|Secondary education",Completion,2005,2011,1133586.106,1133586.106
P068808,1,Social Development Fund 2 (APL #2) (SDF2),20/12/2001,28/02/2007,World Bank,DAC,Romania,ROU,321|160|210|140,Water supply and sanitation|Other social infrastructure and services|Industry|Transport and storage,Completion,2001,2007,24988888.69,24827960.85
P003602,1,HUBEI URBAN ENVIRONMENT PROJECT,19/12/1995,30/04/2005,World Bank,DAC,China,CHN,151|140,"Water supply and sanitation|Government and civil society, general",Completion,1995,2005,208544910.8,139923888.9
P045739,0,FISCAL RESTR. & DERE,30/04/1996,,World Bank,DAC,Malawi,MWI,151|311|310|331,"Agriculture|Trade policy and regulations|Government and civil society, general|Agriculture, forestry, fishing",Completion,1996,1996,6002995.74,
P115486,1,LIFELINE ROADS IMPROVEMENT PROJECT,24/02/2009,31/12/2013,World Bank,DAC,Armenia,ARM,210,Transport and storage,Completion,2009,2013,25874118.27,87977879.23
P099924,1,Corporate and Public Sector Accountivility Project,27/03/2008,30/06/2015,World Bank,DAC,Azerbaijan,AZE,151|240,"Banking and financial services|Government and civil society, general",Completion,2008,2015,11483843.86,1202618.174
P052153,1,Structural Adjustment Credit 3,29/06/1999,30/10/2002,World Bank,DAC,Georgia,GEO,151|120|160|240,"Other social infrastructure and services|Banking and financial services|Health|Government and civil society, general",Completion,1999,2002,78319971.86,75836897.2
P113151,1,Vietnam Industrial Pollution Management Project,25/10/2012,30/09/2018,World Bank,DAC,Vietnam,VNM,140,Water supply and sanitation,Implementation,2012,2018,49092185.83,
P040019,1,Public Capacity Building Project,03/09/1996,31/12/2002,World Bank,DAC,Madagascar,MDG,151,"Government and civil society, general",Completion,1996,2002,18827577.55,17685638.93
P040409,0,Emergency Oil Spill Recovery & Mitigation Project,25/04/1995,30/06/2002,World Bank,DAC,Russian Federation,RUS,322|160,Other social infrastructure and services|Mineral resources and mining,Completion,1995,2002,137639641.2,136547237.2
P058070,1,North-East Irrigated Agriculture Project,02/12/1999,30/06/2005,World Bank,DAC,Sri Lanka,LKA,151|311|160|210|140,"Water supply and sanitation|Other social infrastructure and services|Agriculture|Transport and storage|Government and civil society, general",Completion,1999,2005,35243987.34,33740072.51
P057416,1,Indigenous Peoples Development Project,14/02/2001,31/08/2005,World Bank,DAC,Bolivia,BOL,151|160|311|321|331,"Other social infrastructure and services|Industry|Trade policy and regulations|Government and civil society, general|Agriculture",Completion,2001,2005,6247222.173,2484820.749
P089259,1,Rainfed Agriculture and Livestock Project,06/07/2006,30/09/2014,World Bank,DAC,"Yemen, Republic of",YEM,151|311|310|321,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",Completion,2006,2014,21962065.69,11764766.06
P124006,1,First Connectivity Development Policy Loan,20/11/2012,30/04/2013,World Bank,DAC,Indonesia,IDN,120|230|210|140|220,Water supply and sanitation|Communications|Health|Transport and storage|Energy generation and supply,Completion,2012,2013,98184371.65,
P069916,1,2nd Social Expenditure Management,04/06/2002,30/06/2007,World Bank,DAC,Philippines,PHL,120|111|140|210,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage",Completion,2002,2007,122953663.7,122953663.7
P050491,1,Structural Adjustment Loan 2,18/12/1997,31/12/1998,World Bank,DAC,Russian Federation,RUS,151|240|210,"Banking and financial services|Transport and storage|Government and civil society, general",Completion,1997,1998,1072518959,1072518959
P064919,1,JUDICIAL MODERNIZATION PROJECT,01/08/2002,30/11/2010,World Bank,DAC,El Salvador,SLV,151|113|220,"Communications|Government and civil society, general|Secondary education",Completion,2002,2010,22377566.8,20831847.12
P049477,1,Kerala Forestry Project,24/03/1998,31/12/2003,World Bank,DAC,India,IND,151|312,"Forestry|Government and civil society, general",Completion,1998,2003,51701196.72,38699214.46
P102333,1,Punjab-Irrigation Sector Development Policy Loan II,07/06/2007,31/12/2007,World Bank,DAC,Pakistan,PAK,311,Agriculture,Completion,2007,2007,106714021.5,106714021.5
P100406,1,AFCC2/RI-Lake Victoria Environmental Management Project Phase II,03/03/2009,31/12/2017,World Bank,DAC,Eastern Africa,GTM,312|140,Water supply and sanitation|Forestry,Implementation,2009,2017,93146825.79,21680869.59
P090829,1,Programmatic Support for Institution Building II,13/12/2005,30/09/2006,World Bank,DAC,Afghanistan,AFG,151|240,"Banking and financial services|Government and civil society, general",Completion,2005,2006,90686888.45,89751931.57
P091025,1,Second Infrastructure Asset Management Project (Supplemental),19/06/2007,,World Bank,DAC,Samoa,WSM,151|210,"Government and civil society, general|Transport and storage",Completion,2007,2007,8825249.579,
P096926,1,Jiangsu Water and Wastewater,02/06/2009,31/12/2015,World Bank,DAC,China,CHN,140,Water supply and sanitation,Implementation,2009,2015,134545415,76183422.97
P072482,1,HIV/AIDS Control Project,18/01/2001,31/12/2006,World Bank,DAC,Uganda,UGA,120|160|151|111,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",Completion,2001,2006,59348610.64,61804207.37
